人物ID,著者名,作品ID,作品名,仮名遣い種別,翻訳者名等,入力者名,校正者名,状態,状態の開始日,底本名,出版社名,入力に使用した版,校正に使用した版
001257,"アーヴィング ワシントン",059898,"ウェストミンスター寺院",新字新仮名,"吉田 甲子太郎","えにしだ","砂場清隆",公開,2020-04-03,"スケッチ・ブック","新潮文庫、新潮社","2000（平成12）年2月20日33刷改版","2000（平成12）年2月20日33刷改版"
001257,"アーヴィング ワシントン",056078,"駅伝馬車",旧字旧仮名,"高垣 松雄","雀","小林繁雄",公開,2013-09-20,"スケッチ・ブック","岩波文庫、岩波書店","2010（平成22）年2月23日第31刷","1992（平成4）年2月26日第30刷"
001257,"アーヴィング ワシントン",060224,"駅馬車",新字新仮名,"吉田 甲子太郎","砂場清隆","noriko saito",公開,2021-05-18,"スケッチ・ブック","新潮文庫、新潮社","2000（平成12）年2月20日33刷改版","2000（平成12）年2月20日33刷改版"
001257,"アーヴィング ワシントン",060225,"寡婦とその子",新字新仮名,"吉田 甲子太郎","砂場清隆","noriko saito",公開,2021-10-16,"スケッチ・ブック","新潮文庫、新潮社","2000（平成12）年2月20日33刷改版","2000（平成12）年2月20日33刷改版"
001257,"アーヴィング ワシントン",060231,"クリスマス",新字新仮名,"吉田 甲子太郎","砂場清隆","noriko saito",公開,2021-12-25,"スケッチ・ブック","新潮文庫、新潮社","2000（平成12）年2月20日33刷改版","2000（平成12）年2月20日33刷改版"
001257,"アーヴィング ワシントン",056033,"クリスマス・イーヴ",旧字旧仮名,"高垣 松雄","雀","小林繁雄",公開,2013-08-08,"スケッチ・ブック","岩波文庫、岩波書店","2010（平成22）年2月23日第31刷","1937（昭和12）年5月30日第18刷"
001257,"アーヴィング ワシントン",060232,"クリスマス・イーヴ",新字新仮名,"吉田 甲子太郎","砂場清隆","noriko saito",公開,2021-12-24,"スケッチ・ブック","新潮文庫、新潮社","2000（平成12）年2月20日33刷改版","2000（平成12）年2月20日33刷改版"
001257,"アーヴィング ワシントン",060226,"傷心",新字新仮名,"吉田 甲子太郎","砂場清隆","noriko saito",公開,2022-01-08,"スケッチ・ブック","新潮文庫、新潮社","2000（平成12）年2月20日33刷改版","2000（平成12）年2月20日33刷改版"
001257,"アーヴィング ワシントン",060233,"ジョン・ブル",新字新仮名,"吉田 甲子太郎","砂場清隆","noriko saito",公開,2021-11-28,"スケッチ・ブック","新潮文庫、新潮社","2000（平成12）年2月20日33刷改版","2000（平成12）年2月20日33刷改版"
001257,"アーヴィング ワシントン",060357,"新浦島",新字旧仮名,"森 鴎外、森 林太郎","砂場清隆","岡村和彦",公開,2022-07-09,"鴎外選集　第16巻","岩波書店","1980（昭和55）年6月30日第2刷","1980（昭和55）年2月22日第1刷"
001257,"アーヴィング ワシントン",046658,"スリーピー・ホローの伝説 故ディードリッヒ・ニッカボッカーの遺稿より",新字新仮名,"吉田 甲子太郎","鈴木厚司","砂場清隆",公開,2011-12-31,"スケッチ・ブック","新潮文庫、新潮社","2000（平成12）年2月20日33刷改版","2000（平成12）年 2月20日33刷改版"
001257,"アーヴィング ワシントン",060227,"妻",新字新仮名,"吉田 甲子太郎","砂場清隆","noriko saito",公開,2022-04-03,"スケッチ・ブック","新潮文庫、新潮社","2000（平成12）年2月20日33刷改版","2000（平成12）年2月20日33刷改版"
